AD,CAD,Ward,AG,Age,GN,Gender,NH,CH,CH_YN,PT,Pets,DG,CT,NumPets,DGO,CTO,PetOut,YUP,RO,Rent_Own,IC,Income,Income_Coll,DGR,Degree,Edu_Coll,NS,MM,MMT,DC,ConcernScore,DL,DK,MG,LK,PM,SK,KS,KSP,GAT21,GAT2021,GATPr,GATPrev,GATSm,NumSummers,Summ1,Summ2,Summ3,Summ4,Summ5,New GAT,CHM,CHMN,EC,EmptyConts,ECT,UD,Dunks,FP,KnowUPProg,UPD,WhatProgDo (Overall Score),Did They Check GAT?,BCI,BlockCapInt,BCH,BlockCapHelp,PE,PF,EffectFavScore,PC,OCT,IMC,IMC_Score,GATNo,NoGATReason,GATNoT,TOD,TimeOut,AOD,OutAct,OutActA,OutActB,OutActC,OutActD,OutActE,OutActF,OutActG,OutActH,NumOut,AODT,OOD,OtherOutA,OtherOutB,OtherOutC,OtherOutD,OtherOutE,OtherOutF,OtherOutG,NumOtherOut,OODT,UPF,KN,IN,IN_Coll,Gift card email,Other comments
,,,50 - 65,3,Female,2,3,1,Yes,Yes,1,,1,1,,0,0,32,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,4,7,West Nile virus,1,in pools of water as small as water in a bottle cap,1,Maybe the Asian Tiger?  I honestly haven't thought about the name of mosquitoes in years,1,3,,No,0,Yes,1,2019,1,2019,,,,,Yes,No,0,"Yes, regularly",1,,No,0,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,5,5,10,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",4,I do not think it works,I do not think it works,,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Birding,Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Birding,Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel ,Other outdoor activities ",#REF!,,,,,,7,outdoor church (covid),Yes,Yes,Weekly,Weekly,,
,,,65+,4,Female,2,2,0,No,Yes,1,,2,2,,1,1,20,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,4,"Around town (not in a specific location, but not when I am in my own yard)",,4,8,West Nile,1,standing water,1,?,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,No,0,Yes,2,"In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Yes,2,4,4,8,"More volunteers to assist residents with mosquito control in their yards,Other (please describe)",Please sell GATS at the price they were when originally introduced to UP,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,Cost,It is too expensive,Cost...is there a way to make something like this on my own?,4 -6 hours,5,"Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,None,None,None,,,,,,1,,Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Male,1,5,3,Yes,Yes,1,2,1,3,2,0,2,8,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,"Around town (not in a specific location, but not when I am in my own yard)",,3,7,Not known,0,Damp areas of standing water,1,Tiger,1,2,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,Yes,1,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,No,0,,#N/A,2,4,6,"Town-wide chemical spray,Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,,,,4 -6 hours,5,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,"Hiking,Fishing,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Hiking,Fishing,Camping or backpacking,Outdoor-focused travel ,Other outdoor activities ",Hiking,Fishing,Camping or backpacking,Outdoor-focused travel,Other outdoor activities,,5,Biking,Yes,Yes,Weekly,Weekly,,
,,,18 - 35,1,Male,1,5,3,Yes,No,0,,,0,,,0,2,Rent,1,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,4,9,"West Nile, Zika, Malaria",1,In stagnant water,1,Aedes egypti,0,2,,Yes,1,Yes,1,2020,1,2020,,,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"GAT deployment efforts,Block-captain organizing,Door-to-door canvassing",1,,No,0,,#N/A,2,5,7,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,4 -6 hours,5,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood)","Play with or supervise children playing outdoors,Landscaping ,Exercise ",Play with or supervise children playing outdoors,Landscaping,Exercise,,,,,,3,,"Hiking,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Camping or backpacking,Outdoor-focused travel ",Hiking,Camping or backpacking,Outdoor-focused travel,,,,3,,Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Male,1,4,2,Yes,Yes,1,,1,1,,0,0,7,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,3,7,"West Nile, Zika.",1,Within moisture and standing water.,1,Tiger Mosquitoes,1,3,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,3,5,8,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes,Other (please describe)","Public ranking by ward, to incentivize participation  ","I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,6- 8 hours,7,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,6,,"Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",#REF!,,,,,,7,,Yes,Yes,Daily,Daily,,
,,,65+,4,Male,1,2,0,No,Yes,1,1,0,1,1,0,1,50,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,2,7,"Up to 5 diseases, West Nile virus most likely here",1,"In still water, ",1,"Aedes aegypti, Culex pipiens, Aedes picta",0,2,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,5,5,10,"Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Birding,Hiking,Outdoor-focused travel (such as visiting National Parks)","Birding,Hiking,Outdoor-focused travel ",Birding,Hiking,Outdoor-focused travel,,,,3,,Yes,Yes,Daily,Daily,,
,,,65+,4,Male,1,2,0,No,No,0,,,0,,,0,22,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Bachelor's Degree,4,Bachelor's degree or less,1,"Around town (not in a specific location, but not when I am in my own yard)",,4,5,West Nile Virus,1,larval stage requires standing water as small as and for as short a duration as a leaf cup of rain water,1,tiger mosquito,1,3,,Yes,1,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,GAT deployment efforts,Chemical-spraying,Block-captain organizing,Door-to-door canvassing",0,,Yes,2,Somewhat,1,4,4,8,"More town-sponsored distribution of GATs,Other (please describe)",Standing water in roof gutters almost unavoidable.  Not sure what can be done about it.,They can spread disease to humans,1,"It does not fully eliminate mosquitoes from the yard,Other (please describe)",It does not fully eliminate mosquitoes from the yard,Optional exterior mosquitoe control effort competes with just staying inside to begin with :-),2 - 4 hours,3,"Exercise (including walks around the neighborhood),Other (please describe)","Exercise ,Other ",Exercise,Other,,,,,,,2,Minimal exterior maintenance,None,None,None,,,,,,1,,Yes,Somewhat,Monthly,Monthly or less,,
,,,35 - 50,2,Female,2,5,2,Yes,No,0,,,0,,,0,3.5,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,4,9,West nile,1,Still/standing water,1,Don’t know/ but I know there’s increasing prevalence of aedis egypti,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,Yes,1,"Yes, regularly",1,,No,0,Somewhat,1,Print education,1,,No,0,,#N/A,1,3,4,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,Not explored,I do not have enough information,Haven’t looked into it,6- 8 hours,7,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,,,#VALUE!,,,,,,1,,Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Male,1,2,0,No,No,0,,,0,,,0,,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,5,10,West Nile,1,Standing water,1,Tiger,1,3,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,I don't know what this is,#N/A,No,0,,1,,No,0,,#N/A,,,0,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,It does not fully eliminate mosquitoes from the yard,It does not fully eliminate mosquitoes from the yard,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Male,1,3,0,No,Yes,1,0,2,2,0,0,0,2,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Bachelor's Degree,4,Bachelor's degree or less,5,My backyard,,4,9,I do not know,0,Still bodies of water,1,Tiger,1,2,,Yes,1,Yes,1,2020,1,2020,,,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Block-captain organizing",1,,Yes,2,No,0,1,1,2,"Town-wide chemical spray,Battery-powered or active traps",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,NA (I have a GAT),,,1 - 2 hours,2,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,Other outdoor activities (please describe),Other outdoor activities,Other outdoor activities,,,,,,1,Bicycling,Yes,Yes,Daily,Daily,,
,,,65+,4,Female,2,2,0,No,Yes,1,,1,1,,0,0,42,Own,2,,#N/A,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,"Zeka, West Nile",1,In wet places,1,Asian tiger mosquito,1,3,,No,0,Yes,1,2017,1,2017,,,,,No,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Somewhat,1,4,4,8,,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,They make being outside unpleasant",4,I do not want to maintain it,I do not want to maintain it,,6- 8 hours,7,"Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Exercise ,Sitting in an outdoor space, such as a patio or porch",Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,,3,,Birding,Birding,Birding,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Male,1,1,0,No,No,0,,,0,,,0,20,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,2,My backyard,,3,5,West Nile Disease,1,Pools of water,1,Don't know,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,I don't know what this is,#N/A,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,No,0,,#N/A,3,3,6,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes,Other (please describe)",mosquito eating fish,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,Don't know what it is,I do not know what it is,What is a GAT?,Less than 1 hour,1,"Gardening,Home improvement projects (such as painting or renovating the exterior of your home) ,Other (please describe)","Gardening,Home improvement projects  ,Other ",Gardening,Home improvement projects,Other,,,,,,3,Car maintenance,"Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Outdoor-focused travel ,Other outdoor activities ",Outdoor-focused travel,Other outdoor activities,,,,,2,Boat trips,Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Male,1,3,1,Yes,No,0,,,0,,,0,3,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,4,8,West Nile virus,1,In pools of still water,1,Asian Tiger mosquito,1,3,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,I don't know what this is,#N/A,Somewhat,1,,1,,No,0,,#N/A,2,2,4,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,Don't know what it is,I do not know what it is,I wasnt aware of them,4 -6 hours,5,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Landscaping ,Gardening,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Landscaping,Gardening,Sitting in an outdoor space,such as a patio or porch,,,,5,,"Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Camping or backpacking,Outdoor-focused travel,6,,Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Female,2,4,2,Yes,Yes,1,1,0,1,1,0,1,6,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,2,5,West Nile,1,In water,1,Tiger mosquito,1,3,,Yes,1,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Yes,2,4,4,8,"Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,NA (I have a GAT),,,6- 8 hours,7,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,6,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Male,1,4,2,Yes,No,0,,,0,,,0,12,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,2,6,west nile,1,standing water,1,don't know,0,2,,No,0,Yes,1,"201,620,172,020",3,2016,2017,2020,,,No,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,GAT deployment efforts,Block-captain organizing",1,,No,0,,#N/A,2,2,4,"More volunteers to assist residents with mosquito control in their yards,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,"I do not think it works,It does not fully eliminate mosquitoes from the yard",I do not think it works,,1 - 2 hours,2,"Play with or supervise children playing outdoors,Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,"Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Camping or backpacking,Outdoor-focused travel,6,,Yes,Yes,Daily,Daily,,
,,,65+,4,Male,1,1,0,No,No,0,,,0,,,0,33,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,1,"Around town (not in a specific location, but not when I am in my own yard)",,2,3,"West Nile , aedes",1,"In water that can gather anywhere, bird baths, old pots, eg.",1,Aedes,0,2,,No,0,Yes,1,2016,1,2016,,,,,No,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Door-to-door canvassing",1,,Yes,2,Somewhat,1,4,4,8,,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,"I do not think it works,I do not want to maintain it",I do not think it works,,Less than 1 hour,1,Gardening,Gardening,Gardening,,,,,,,,1,,None,None,None,,,,,,1,,Yes,Yes,Rarely,Monthly or less,,
,,,65+,4,Female,2,2,0,No,No,0,,,0,,,0,,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,5,10,"West Nile, Chikungunya, Dengue, Malaria, Encephalitis, Zika",1,Standing water,1,"tiger mosquito, anopheles",1,3,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,2,5,7,"Town-wide chemical spray,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,6- 8 hours,7,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,Outdoor-focused travel (such as visiting National Parks),Outdoor-focused travel,Outdoor-focused travel,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Male,1,3,0,No,No,0,,,0,,,0,,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,3,7,,0,sitting water,1,,0,1,,No,0,Yes,1,2018,1,2018,,,,,Yes,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,If I notice water sitting,I don't know what this is,#N/A,Somewhat,1,"GAT deployment efforts,Chemical-spraying,Door-to-door canvassing",0,,No,0,,#N/A,3,4,7,"Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards",,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,"I do not want to maintain it,It does not fully eliminate mosquitoes from the yard",I do not want to maintain it,,2 - 4 hours,3,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,Other outdoor activities (please describe),Other outdoor activities,Other outdoor activities,,,,,,1,walking,Yes,Yes,Weekly,Weekly,,
,,,65+,4,Female,2,2,0,No,Yes,1,,2,2,,0,0,30,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Bachelor's Degree,4,Bachelor's degree or less,4,My backyard,,4,8,"malaria, yellow fever",0,"in water as larvae, then outside",1,Have seen the name (not Aedes); currently can't recall it,0,1,,Yes,1,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,5,5,10,"Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,2 - 4 hours,3,"Gardening,Exercise (including walks around the neighborhood),Home improvement projects (such as painting or renovating the exterior of your home) ","Gardening,Exercise ,Home improvement projects  ",Gardening,Exercise,Home improvement projects,,,,,,3,,"Hiking,Kayaking, canoeing, or other water sports","Hiking,Kayaking, canoeing, or other water sports",Hiking,Kayaking,canoeing,or other water sports,,,4,,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Male,1,4,0,No,Yes,1,1,2,3,1,2,3,26,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Bachelor's Degree,4,Bachelor's degree or less,5,Other (please describe),my front and back and side yards,4,9,encephalitis,1,In water that is about 4 days old.  Some develop on wet tree bark ( tiger),1,Tiger,1,3,,No,0,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Yes, regularly",1,,No,0,Yes,2,GAT deployment efforts,1,,No,0,,#N/A,3,3,6,"Town-wide chemical spray,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,They make being outside unpleasant",4,"I do not think it works,Other (please describe)",I do not think it works,I've tried them but have never seen a mosquito or larvae in them,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ,Other (please describe)","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ,Other ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,Other,,7,car maintanence,Other outdoor activities (please describe),Other outdoor activities,Other outdoor activities,,,,,,1,play softball and tennis,Yes,Yes,Monthly,Monthly or less,,
,,,35 - 50,2,Female,2,2,0,No,No,0,,,0,,,0,2,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,4,9,"west nile virus, chikugunya virus",1,anywhere with standing water,1,asian tiger and the other one that carries west nile! :),1,3,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring",1,,No,0,,#N/A,2,4,6,"Town-wide chemical spray,More town-sponsored distribution of GATs",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,I do not want to maintain it,I do not want to maintain it,,6- 8 hours,7,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood)","Landscaping ,Gardening,Exercise ",Landscaping,Gardening,Exercise,,,,,,3,,"Hiking,Other outdoor activities (please describe)","Hiking,Other outdoor activities ",Hiking,Other outdoor activities,,,,,2,swimming and tennis,Yes,Yes,Weekly,Weekly,,
